transient_index,timestamp_s,strength,strength_rounded,frequency_hz,frequency_hz_rounded,frequency_band,wavelength_m,wavelength_m_rounded,rolloff_hz,rolloff_hz_rounded,rolloff_band,pitch_hz,pitch_hz_rounded,pitch_band
1,0.085333,0.6415613,0.64,1745.051449921908,1745.1,mid,0.19655580929453365,0.1966,3632.8125,3632.8,high,65.40639132514966,65.4,low
2,1.536,0.76421654,0.76,5065.048967696637,5065.0,high,0.06771898992241755,0.0677,7558.59375,7558.6,high,0.0,0.0,unvoiced
3,3.221333,0.4166462,0.42,4805.39470773946,4805.4,high,0.07137811165596282,0.0714,7863.28125,7863.3,high,0.0,0.0,unvoiced
4,3.690667,0.43902007,0.44,4646.0608096355845,4646.1,high,0.07382598163343956,0.0738,7324.21875,7324.2,high,0.0,0.0,unvoiced
5,5.034667,0.57272255,0.57,2859.1811179526053,2859.2,high,0.11996441842957277,0.12,4535.15625,4535.2,high,0.0,0.0,unvoiced
6,5.888,0.67592704,0.68,4243.388368069791,4243.4,high,0.08083163035016329,0.0808,7757.8125,7757.8,high,0.0,0.0,unvoiced
7,6.549333,0.6113864,0.61,3301.973801123924,3302.0,high,0.10387726270973133,0.1039,5179.6875,5179.7,high,0.0,0.0,unvoiced
8,7.36,0.583915,0.58,4062.402643668227,4062.4,high,0.08443279263187002,0.0844,7089.84375,7089.8,high,66.16637698451642,66.2,low
9,7.893333,0.858293,0.86,4700.149367556627,4700.1,high,0.07297640418996058,0.073,7394.53125,7394.5,high,0.0,0.0,unvoiced
10,15.253333,0.45981815,0.46,3215.227092573598,3215.2,high,0.10667986743214736,0.1067,5097.65625,5097.7,high,0.0,0.0,unvoiced
11,17.813333,0.628958,0.63,2592.354556697969,2592.4,high,0.1323121480870652,0.1323,4300.78125,4300.8,high,0.0,0.0,unvoiced
12,19.072,0.4580965,0.46,2544.563226413935,2544.6,high,0.13479720072956944,0.1348,4500.0,4500.0,high,65.7852866955572,65.8,low
13,22.4,0.81134194,0.81,2601.447423128216,2601.4,high,0.13184967604978376,0.1318,4828.125,4828.1,high,66.54967490706109,66.5,low
14,23.168,0.7013225,0.7,4093.3489320024237,4093.3,high,0.0837944689538617,0.0838,7031.25,7031.2,high,0.0,0.0,unvoiced
15,23.722667,0.8022412,0.8,3867.8312944388513,3867.8,high,0.08868018636003171,0.0887,6726.5625,6726.6,high,0.0,0.0,unvoiced
16,24.746667,0.6521325,0.65,4331.409020013307,4331.4,high,0.07918901180081724,0.0792,8085.9375,8085.9,high,0.0,0.0,unvoiced
17,25.301333,0.70535505,0.71,4830.544765185421,4830.5,high,0.07100648408685928,0.071,8050.78125,8050.8,high,0.0,0.0,unvoiced
18,26.069333,0.83710754,0.84,4888.20489445629,4888.2,high,0.07016890809732547,0.0702,7746.09375,7746.1,high,0.0,0.0,unvoiced
19,26.986667,0.59344566,0.59,3969.0934383265553,3969.1,high,0.08641771863768853,0.0864,6796.875,6796.9,high,0.0,0.0,unvoiced
20,27.584,0.84192127,0.84,4559.807814789094,4559.8,high,0.07522246856271614,0.0752,8167.96875,8168.0,high,0.0,0.0,unvoiced
21,29.824,0.4411748,0.44,4958.915099210812,4958.9,high,0.06916835500059013,0.0692,6878.90625,6878.9,high,0.0,0.0,unvoiced
22,30.378667,0.6163193,0.62,4084.850304243634,4084.9,high,0.08396880533018973,0.084,6855.46875,6855.5,high,0.0,0.0,unvoiced
23,30.933333,0.4602199,0.46,3799.554692820128,3799.6,high,0.09027373672187267,0.0903,6796.875,6796.9,high,0.0,0.0,unvoiced
24,32.490667,0.7859226,0.79,4421.0004355433575,4421.0,high,0.0775842493120777,0.0776,7605.46875,7605.5,high,0.0,0.0,unvoiced
25,33.088,0.7311729,0.73,3612.1154263086487,3612.1,high,0.09495820579314214,0.095,5718.75,5718.8,high,0.0,0.0,unvoiced
26,34.496,0.5190574,0.52,4572.931371117031,4572.9,high,0.07500659252540134,0.075,8085.9375,8085.9,high,0.0,0.0,unvoiced
27,35.584,0.53053916,0.53,4686.614467998663,4686.6,high,0.07318715937529895,0.0732,7429.6875,7429.7,high,0.0,0.0,unvoiced
28,38.378667,0.72319627,0.72,4662.306691705837,4662.3,high,0.07356873382229254,0.0736,7792.96875,7793.0,high,0.0,0.0,unvoiced
29,38.805333,0.6940872,0.69,5253.142722712038,5253.1,high,0.0652942472925844,0.0653,8062.5,8062.5,high,0.0,0.0,unvoiced
30,43.050667,0.675959,0.68,3340.596610020909,3340.6,high,0.10267627015219091,0.1027,6644.53125,6644.5,high,69.6970834057884,69.7,low
31,43.605333,1.0,1.0,3816.5305070538734,3816.5,high,0.08987220182468157,0.0899,6738.28125,6738.3,high,0.0,0.0,unvoiced
32,44.522667,0.8342057,0.83,4069.451206820133,4069.5,high,0.08428654935711098,0.0843,6960.9375,6960.9,high,65.40639132514966,65.4,low
33,45.333333,0.9133941,0.91,4545.346542727766,4545.3,high,0.07546179301747098,0.0755,6984.375,6984.4,high,0.0,0.0,unvoiced
34,45.952,0.8434089,0.84,4455.989373963359,4456.0,high,0.0769750489092662,0.077,7160.15625,7160.2,high,0.0,0.0,unvoiced
35,47.125333,0.9115118,0.91,4527.066511520914,4527.1,high,0.07576650334760945,0.0758,6949.21875,6949.2,high,0.0,0.0,unvoiced
36,47.722667,0.91243136,0.91,4298.436956045729,4298.4,high,0.0797964477570323,0.0798,6937.5,6937.5,high,0.0,0.0,unvoiced
37,48.341333,0.63233775,0.63,4378.72054958045,4378.7,high,0.07833338440217766,0.0783,7324.21875,7324.2,high,0.0,0.0,unvoiced
38,48.96,0.91305953,0.91,4235.57451855747,4235.6,high,0.08098074971817924,0.081,7242.1875,7242.2,high,0.0,0.0,unvoiced
39,49.578667,0.5909059,0.59,4316.4451917137185,4316.4,high,0.07946353649027149,0.0795,7769.53125,7769.5,high,0.0,0.0,unvoiced
40,50.197333,0.9448758,0.94,4570.679555666764,4570.7,high,0.07504354567467893,0.075,8097.65625,8097.7,high,0.0,0.0,unvoiced
41,50.816,0.8780671,0.88,4335.93195577632,4335.9,high,0.07910640745712258,0.0791,8085.9375,8085.9,high,0.0,0.0,unvoiced
42,51.413333,0.892357,0.89,4279.542459222531,4279.5,high,0.08014875498216535,0.0801,7324.21875,7324.2,high,0.0,0.0,unvoiced
43,52.053333,0.8502553,0.85,3997.0220806021616,3997.0,high,0.085813886709459,0.0858,7464.84375,7464.8,high,0.0,0.0,unvoiced
44,52.672,0.76382375,0.76,3502.690485476122,3502.7,high,0.09792472427188378,0.0979,6750.0,6750.0,high,72.57293509250918,72.6,low
45,53.546667,0.8273295,0.83,3911.848717841186,3911.8,high,0.08768232739564884,0.0877,6339.84375,6339.8,high,0.0,0.0,unvoiced
46,54.229333,0.91389424,0.91,4419.710925509559,4419.7,high,0.07760688555902662,0.0776,7195.3125,7195.3,high,0.0,0.0,unvoiced
47,54.698667,0.8092407,0.81,4457.563925716702,4457.6,high,0.07694785890139563,0.0769,7781.25,7781.2,high,0.0,0.0,unvoiced
