transient_index,timestamp_s,strength,strength_rounded
1,0.085333,0.6415613,0.64
2,1.536,0.76421654,0.76
3,3.221333,0.4166462,0.42
4,3.690667,0.43902007,0.44
5,5.034667,0.57272255,0.57
6,5.888,0.67592704,0.68
7,6.549333,0.6113864,0.61
8,7.36,0.583915,0.58
9,7.893333,0.858293,0.86
10,15.253333,0.45981815,0.46
11,17.813333,0.628958,0.63
12,19.072,0.4580965,0.46
13,22.4,0.81134194,0.81
14,23.168,0.7013225,0.7
15,23.722667,0.8022412,0.8
16,24.746667,0.6521325,0.65
17,25.301333,0.70535505,0.71
18,26.069333,0.83710754,0.84
19,26.986667,0.59344566,0.59
20,27.584,0.84192127,0.84
21,29.824,0.4411748,0.44
22,30.378667,0.6163193,0.62
23,30.933333,0.4602199,0.46
24,32.490667,0.7859226,0.79
25,33.088,0.7311729,0.73
26,34.496,0.5190574,0.52
27,35.584,0.53053916,0.53
28,38.378667,0.72319627,0.72
29,38.805333,0.6940872,0.69
30,43.050667,0.675959,0.68
31,43.605333,1.0,1.0
32,44.522667,0.8342057,0.83
33,45.333333,0.9133941,0.91
34,45.952,0.8434089,0.84
35,47.125333,0.9115118,0.91
36,47.722667,0.91243136,0.91
37,48.341333,0.63233775,0.63
38,48.96,0.91305953,0.91
39,49.578667,0.5909059,0.59
40,50.197333,0.9448758,0.94
41,50.816,0.8780671,0.88
42,51.413333,0.892357,0.89
43,52.053333,0.8502553,0.85
44,52.672,0.76382375,0.76
45,53.546667,0.8273295,0.83
46,54.229333,0.91389424,0.91
47,54.698667,0.8092407,0.81
